,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
1143,32103205,gpt-3.5-turbo,0.29335998746932734,0,0,0.3076923076923077,0.42857142857142855,0.14285714285714285,0
1144,32103205,RefSum,0.7454603741114172,0.12,1,0.045454545454545456,0,0,1
1145,32105677,facebook/bart-large-cnn,0.35146034492704004,0.15,0.18181818181818182,0.8333333333333334,0.1111111111111111,0,0.1818181818181818
1146,32105677,google/pegasus-xsum,0.7576539595882634,0.23076923076923078,1,0.09090909090909091,0,0,1
1147,32105677,t5-large,0.35146034492704004,0.15,0.18181818181818182,0.8333333333333334,0.1111111111111111,0,0.1818181818181818
1148,32105677,gpt-3.5-turbo,0.6125495714988745,0.23076923076923078,0.5,0.2727272727272727,0,0,0.5
1149,32105677,RefSum,0.7576539595882634,0.23076923076923078,1,0.09090909090909091,0,0,1
1150,32112556,facebook/bart-large-cnn,0.36090725483714875,0,0,0.5714285714285714,0,0,0
1151,32112556,google/pegasus-xsum,0.5,0,0,0,0,0,0
1152,32112556,t5-large,0.3503167801296996,0,0,0.11764705882352941,0.5,0,0
1153,32112556,gpt-3.5-turbo,0.35434369377420455,0,0,0.4,0.2,0,0
1154,32112556,RefSum,0.7310585786300049,0,1,0,0,0,1
1155,32148941,facebook/bart-large-cnn,0.3371120784959235,0,0,0.47619047619047616,0,0.2,0
1156,32148941,google/pegasus-xsum,0.11920292202211755,0,0,0,1,1,0
1157,32148941,t5-large,0.3371120784959235,0,0,0.47619047619047616,0,0.2,0
1158,32148941,gpt-3.5-turbo,0.28510978712884527,0,0,0.34782608695652173,0.42857142857142855,0.14285714285714285,0
1159,32148941,RefSum,0.7517267869214679,0.16666666666666666,1,0.058823529411764705,0,0,1
1160,32171407,facebook/bart-large-cnn,0.3383651375896197,0,0,0.47058823529411764,0.2,0,0
1161,32171407,google/pegasus-xsum,0.46161414343735935,0,0,0.15384615384615385,0,0,0
1162,32171407,t5-large,0.35703986213991684,0,0,0.5882352941176471,0,0,0
1163,32171407,gpt-3.5-turbo,0.33924363123418283,0,0,0.6666666666666666,0,0,0
1164,32171407,RefSum,0.5,0,0,0,0,0,0
1165,32188366,facebook/bart-large-cnn,0.42703971290956083,0.2727272727272727,0.3333333333333333,0.9,0,0,0.33333333333333337
1166,32188366,google/pegasus-xsum,0.779353827659347,0.42857142857142855,1,0.16666666666666666,0,0,1
1167,32188366,t5-large,0.42703971290956083,0.2727272727272727,0.3333333333333333,0.9,0,0,0.33333333333333337
1168,32188366,gpt-3.5-turbo,0.648646544003798,0.375,0.6666666666666666,0.42857142857142855,0,0,0.6666666666666666
1169,32188366,RefSum,0.779353827659347,0.42857142857142855,1,0.16666666666666666,0,0,1
1170,32300397,facebook/bart-large-cnn,0.4269960990746621,0,0,0.29411764705882354,0,0,0
1171,32300397,google/pegasus-xsum,0.431706567841406,0,0.2857142857142857,0.06060606060606061,0.5,0,0.28571428571428575
1172,32300397,t5-large,0.43968902105842184,0,0,0.24242424242424243,0,0,0
1173,32300397,gpt-3.5-turbo,0.43348482960092777,0,0.25,0.11764705882352941,0.4,0,0.25
1174,32300397,RefSum,0.7310585786300049,0,1,0,0,0,1
1175,32672009,facebook/bart-large-cnn,0.5,0,0,0,0,0,0
1176,32672009,google/pegasus-xsum,0.7099699475998829,0.42857142857142855,0.6666666666666666,0.2,0,0,0.6666666666666666
1177,32672009,t5-large,0.19781611144141825,0,0,0.4,0,1,0
1178,32672009,gpt-3.5-turbo,0.7099699475998829,0.42857142857142855,0.6666666666666666,0.2,0,0,0.6666666666666666
1179,32672009,RefSum,0.7700039187406861,0.375,1,0.16666666666666666,0,0,1
1180,32719212,facebook/bart-large-cnn,0.3047033306524346,0,0,0.625,0,0.2,0
1181,32719212,google/pegasus-xsum,0.5307304486714433,0.2,0.5,0.07692307692307693,0.5,0,0.5
1182,32719212,t5-large,0.27840624539964376,0,0,0.6666666666666666,0.14285714285714285,0.14285714285714285,0
1183,32719212,gpt-3.5-turbo,0.31360192144807275,0,0,0.5333333333333333,0,0.25,0
1184,32719212,RefSum,0.7545590079507374,0.2,1,0.07692307692307693,0,0,1
