,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
581,uk-england-tyne-55201101,google/pegasus-xsum,0.5792503995670958,0.13636363636363635,0.25,0.06666666666666667,0,0,0.25
582,uk-england-tyne-55201101,t5-large,0.412967957089312,0.1111111111111111,0.15384615384615385,0.45,0.16666666666666666,0,0.15384615384615383
583,uk-england-tyne-55201101,gpt-3.5-turbo,0.4654236320651314,0.1,0.375,0.391304347826087,0.2222222222222222,0,0.375
584,uk-england-tyne-55201101,RefSum,0.742599534167852,0.10714285714285714,1,0.047619047619047616,0,0,1
585,uk-england-wiltshire-54161565,facebook/bart-large-cnn,0.36691963074516754,0,0,0.5454545454545454,0,0,0
586,uk-england-wiltshire-54161565,google/pegasus-xsum,0.44467194473763105,0,0,0.2222222222222222,0,0,0
587,uk-england-wiltshire-54161565,t5-large,0.44467194473763105,0,0,0.2222222222222222,0,0,0
588,uk-england-wiltshire-54161565,gpt-3.5-turbo,0.36691963074516754,0,0,0.5454545454545454,0,0,0
589,uk-england-wiltshire-54161565,RefSum,0.5,0,0,0,0,0,0
590,uk-england-york-north-yorkshire-44287634,facebook/bart-large-cnn,0.2843313650622077,0,0,0.9230769230769231,0,0,0
591,uk-england-york-north-yorkshire-44287634,google/pegasus-xsum,0.5,0,0,0,0,0,0
592,uk-england-york-north-yorkshire-44287634,t5-large,0.3906824581564393,0,0,0.4444444444444444,0,0,0
593,uk-england-york-north-yorkshire-44287634,gpt-3.5-turbo,0.43782349911420193,0,0,0.25,0,0,0
594,uk-england-york-north-yorkshire-44287634,RefSum,0.5,0,0,0,0,0,0
595,uk-england-york-north-yorkshire-54811576,facebook/bart-large-cnn,0.3318122278318339,0,0,0.2,0,0.5,0
596,uk-england-york-north-yorkshire-54811576,google/pegasus-xsum,0.34999808658149645,0,0,0.2857142857142857,0,0.3333333333333333,0
597,uk-england-york-north-yorkshire-54811576,t5-large,0.3318122278318339,0,0,0.2,0,0.5,0
598,uk-england-york-north-yorkshire-54811576,gpt-3.5-turbo,0.30226432446822993,0,0,0.46153846153846156,0.25,0.125,0
599,uk-england-york-north-yorkshire-54811576,RefSum,0.7476963523493185,0.13636363636363635,1,0.05,0,0,1
600,uk-northern-ireland-11997538,facebook/bart-large-cnn,0.33050932722791165,0,0,0.7058823529411765,0,0,0
601,uk-northern-ireland-11997538,google/pegasus-xsum,0.2839402061842902,0,0,0.125,0.8,0,0
602,uk-northern-ireland-11997538,t5-large,0.42367812009254757,0,0,0.3076923076923077,0,0,0
603,uk-northern-ireland-11997538,gpt-3.5-turbo,0.2969546208077085,0,0,0.7368421052631579,0.125,0,0
604,uk-northern-ireland-11997538,RefSum,0.7310585786300049,0,1,0,0,0,1
605,uk-northern-ireland-21704879,facebook/bart-large-cnn,0.3816009290615866,0,0,0.4827586206896552,0,0,0
606,uk-northern-ireland-21704879,google/pegasus-xsum,0.5,0,0,0,0,0,0
607,uk-northern-ireland-21704879,t5-large,0.3784114468660818,0,0,0.2962962962962963,0.2,0,0
608,uk-northern-ireland-21704879,gpt-3.5-turbo,0.48215044559386533,0,0.2857142857142857,0.35714285714285715,0,0,0.2857142857142857
609,uk-northern-ireland-21704879,RefSum,0.7310585786300049,0,1,0,0,0,1
610,uk-northern-ireland-37680586,facebook/bart-large-cnn,0.37058318440910293,0,0,0.4186046511627907,0,0.1111111111111111,0
611,uk-northern-ireland-37680586,google/pegasus-xsum,0.5238179919943704,0.07692307692307693,0.4,0.13157894736842105,0.25,0,0.4
612,uk-northern-ireland-37680586,t5-large,0.37058318440910293,0,0,0.4186046511627907,0,0.1111111111111111,0
613,uk-northern-ireland-37680586,gpt-3.5-turbo,0.32661959942923025,0,0,0.27906976744186046,0.3333333333333333,0.1111111111111111,0
614,uk-northern-ireland-37680586,RefSum,0.7416882666560355,0.08333333333333333,1,0.02857142857142857,0,0,1
615,uk-northern-ireland-40941393,facebook/bart-large-cnn,0.6131209060033422,0.05660377358490566,0.5,0.09615384615384616,0,0,0.5
616,uk-northern-ireland-40941393,google/pegasus-xsum,0.261149993915751,0,0,0.04,0,1,0
617,uk-northern-ireland-40941393,t5-large,0.5,0,0,0,0,0,0
618,uk-northern-ireland-40941393,gpt-3.5-turbo,0.5550786082050718,0.05454545454545454,0.3333333333333333,0.16666666666666666,0,0,0.33333333333333337
619,uk-northern-ireland-40941393,RefSum,0.7386229415116526,0.058823529411764705,1,0.02,0,0,1
620,uk-northern-ireland-56527822,facebook/bart-large-cnn,0.5442644021163296,0.10344827586206896,0.3333333333333333,0.25925925925925924,0,0,0.3333333333333333
621,uk-northern-ireland-56527822,google/pegasus-xsum,0.5442644021163296,0.10344827586206896,0.3333333333333333,0.25925925925925924,0,0,0.3333333333333333
622,uk-northern-ireland-56527822,t5-large,0.5160658960546076,0.1,0.2857142857142857,0.32142857142857145,0,0,0.28571428571428575
623,uk-northern-ireland-56527822,gpt-3.5-turbo,0.49578051460806066,0.08823529411764706,0.36363636363636365,0.46875,0,0,0.3636363636363636
624,uk-northern-ireland-56527822,RefSum,0.7448081610044639,0.1111111111111111,1,0.04,0,0,1
625,uk-politics-12657524,facebook/bart-large-cnn,0.2856375705089441,0,0,0.25,0,0.6666666666666666,0
626,uk-politics-12657524,google/pegasus-xsum,0.3956847331752244,0.12,0.5,0.043478260869565216,0.5,0.5,0.5
627,uk-politics-12657524,t5-large,0.2361484117282508,0,0,0.17391304347826086,0,1,0
628,uk-politics-12657524,gpt-3.5-turbo,0.3722614162583197,0.10714285714285714,0.2857142857142857,0.11538461538461539,0.6,0.2,0.28571428571428575
629,uk-politics-12657524,RefSum,0.7600663815394861,0.24,1,0.08695652173913043,0,0,1
630,uk-politics-17450719,facebook/bart-large-cnn,0.47620845649861887,0,0,0.09523809523809523,0,0,0
631,uk-politics-17450719,google/pegasus-xsum,0.452524404873952,0,0.3333333333333333,0.023809523809523808,0.5,0,0.3333333333333333
632,uk-politics-17450719,t5-large,0.47620845649861887,0,0,0.09523809523809523,0,0,0
633,uk-politics-17450719,gpt-3.5-turbo,0.44973345071638565,0,0.125,0.2553191489361702,0.07142857142857142,0,0.125
634,uk-politics-17450719,RefSum,0.7310585786300049,0,1,0,0,0,1
635,uk-politics-20775071,facebook/bart-large-cnn,0.37932264460711307,0,0,0.24242424242424243,0,0.25,0
636,uk-politics-20775071,google/pegasus-xsum,0.3775406687981454,0,0.5,0,0.5,0.5,0.5
637,uk-politics-20775071,t5-large,0.256037508675242,0,0,0.06666666666666667,0,1,0
638,uk-politics-20775071,gpt-3.5-turbo,0.48898465647373923,0.07894736842105263,0.4444444444444444,0.1388888888888889,0.42857142857142855,0,0.4444444444444445
639,uk-politics-20775071,RefSum,0.7424326703089463,0.09090909090909091,1,0.03225806451612903,0,0,1
640,uk-politics-21697489,facebook/bart-large-cnn,0.46008511544443426,0,0,0.16,0,0,0
641,uk-politics-21697489,google/pegasus-xsum,0.35893259366518293,0,0,0.08,0.5,0,0
642,uk-politics-21697489,t5-large,0.47917871462725703,0,0,0.08333333333333333,0,0,0
643,uk-politics-21697489,gpt-3.5-turbo,0.29495713297377474,0,0,0.07142857142857142,0.8,0,0
644,uk-politics-21697489,RefSum,0.7310585786300049,0,1,0,0,0,1
645,uk-politics-27023540,facebook/bart-large-cnn,0.32682496060742783,0,0,0.3225806451612903,0,0.4,0
646,uk-politics-27023540,google/pegasus-xsum,0.38381735415263946,0.09090909090909091,0.2857142857142857,0.1,0.5,0.25,0.28571428571428575
647,uk-politics-27023540,t5-large,0.3172006139065875,0,0,0.26666666666666666,0,0.5,0
648,uk-politics-27023540,gpt-3.5-turbo,0.3532235798544939,0.07317073170731707,0.13333333333333333,0.39473684210526316,0.3333333333333333,0.08333333333333333,0.13333333333333333
649,uk-politics-27023540,RefSum,0.7537167768747314,0.1875,1,0.06896551724137931,0,0,1
650,uk-politics-30142579,facebook/bart-large-cnn,0.4714596290177348,0,0,0.11428571428571428,0,0,0
651,uk-politics-30142579,google/pegasus-xsum,0.4852983566307939,0,0,0.058823529411764705,0,0,0
652,uk-politics-30142579,t5-large,0.4852983566307939,0,0,0.058823529411764705,0,0,0
653,uk-politics-30142579,gpt-3.5-turbo,0.3983937887186994,0,0,0.16216216216216217,0.25,0,0
654,uk-politics-30142579,RefSum,0.7310585786300049,0,1,0,0,0,1
655,uk-politics-33632605,facebook/bart-large-cnn,0.47917871462725703,0,0,0.08333333333333333,0,0,0
656,uk-politics-33632605,google/pegasus-xsum,0.5,0,0,0,0,0,0
657,uk-politics-33632605,t5-large,0.3301552450334594,0,0,0.04081632653061224,0.6666666666666666,0,0
658,uk-politics-33632605,gpt-3.5-turbo,0.36350461252269645,0,0,0.18518518518518517,0.375,0,0
659,uk-politics-33632605,RefSum,0.5,0,0,0,0,0,0
660,uk-politics-35107203,facebook/bart-large-cnn,0.7481452457748009,0.13636363636363635,1,0.047619047619047616,0,0,1
661,uk-politics-35107203,google/pegasus-xsum,0.11920292202211755,0,0,0,1,1,0
662,uk-politics-35107203,t5-large,0.3087005123958295,0,0,0.13953488372093023,0,0.6666666666666666,0
663,uk-politics-35107203,gpt-3.5-turbo,0.11417566421128998,0,0,0.04878048780487805,0,2,0
664,uk-politics-35107203,RefSum,0.7481452457748009,0.13636363636363635,1,0.047619047619047616,0,0,1
665,uk-politics-36836980,facebook/bart-large-cnn,0.45467026111147996,0,0,0.18181818181818182,0,0,0
666,uk-politics-36836980,google/pegasus-xsum,0.47620845649861887,0,0,0.09523809523809523,0,0,0
667,uk-politics-36836980,t5-large,0.5,0,0,0,0,0,0
668,uk-politics-36836980,gpt-3.5-turbo,0.3758392605990735,0,0,0.17391304347826086,0.3333333333333333,0,0
669,uk-politics-36836980,RefSum,0.5,0,0,0,0,0,0
670,uk-politics-48721211,facebook/bart-large-cnn,0.48192180338251217,0.07142857142857142,0.2857142857142857,0.1794871794871795,0,0.25,0.28571428571428575
671,uk-politics-48721211,google/pegasus-xsum,0.7101156813283807,0.15,0.8,0.05405405405405406,0,0,0.8
672,uk-politics-48721211,t5-large,0.3891575724915824,0.07692307692307693,0.5,0.027777777777777776,0,1,0.5
673,uk-politics-48721211,gpt-3.5-turbo,0.5718822609544157,0.13953488372093023,0.5,0.15,0.2,0,0.5
674,uk-politics-48721211,RefSum,0.7490796731019564,0.14634146341463414,1,0.05263157894736842,0,0,1
675,uk-scotland-12847865,facebook/bart-large-cnn,0.5347921668239067,0.2727272727272727,0.5,0.3,0.3333333333333333,0,0.5
676,uk-scotland-12847865,google/pegasus-xsum,0.5,0,0,0,0,0,0
