,Id,Model,EHI,Extractiveness Factor (EF),Positive Hallucination (PH),Over Focus (OF),Negative Hallucination (NH),Lost Focus (LF),Entity F1 Score
152,entertainment-arts-39002451,t5-large,0.8558558558558559,0.09375,0.5,0.1,0,0,0.5
153,entertainment-arts-39002451,gpt-3.5-turbo,0.7559760956175299,0.08571428571428572,0.5714285714285714,0.21212121212121213,0,0,0.5714285714285715
154,entertainment-arts-39002451,RefSum,0.9704251386321626,0.09375,1,0.03333333333333333,0,0,1
155,entertainment-arts-44964740,facebook/bart-large-cnn,0,0,0,0.34615384615384615,0,0.2222222222222222,0
156,entertainment-arts-44964740,google/pegasus-xsum,0,0,0,0.044444444444444446,0.5,1,0
157,entertainment-arts-44964740,t5-large,0.4363395225464191,0.058823529411764705,0.25,0.14893617021276595,0,0.25,0.25
158,entertainment-arts-44964740,gpt-3.5-turbo,0.39614005191511287,0.05660377358490566,0.2,0.22448979591836735,0,0.16666666666666666,0.2
159,entertainment-arts-44964740,RefSum,0.9633225458468176,0.11764705882352941,1,0.0425531914893617,0,0,1
160,entertainment-arts-45639433,facebook/bart-large-cnn,0,0,0,0.20833333333333334,0.2857142857142857,0,0
161,entertainment-arts-45639433,google/pegasus-xsum,0,0,0,0.24489795918367346,0.25,0,0
162,entertainment-arts-45639433,t5-large,0,0,0,0.13333333333333333,0.25,0,0
163,entertainment-arts-45639433,gpt-3.5-turbo,0,0,0,0.2916666666666667,0,0,0
164,entertainment-arts-45639433,RefSum,0,0,0,0,0,0,0
165,entertainment-arts-49419053,facebook/bart-large-cnn,0,0,0,0.2727272727272727,0,0.08333333333333333,0
166,entertainment-arts-49419053,google/pegasus-xsum,0.42654028436018954,0,0.2222222222222222,0.09876543209876543,0,0.2,0.22222222222222224
167,entertainment-arts-49419053,t5-large,0,0,0,0.05128205128205128,0,0.5,0
168,entertainment-arts-49419053,gpt-3.5-turbo,0.22201960877184673,0.028846153846153848,0.14285714285714285,0.31,0.2916666666666667,0,0.14285714285714285
169,entertainment-arts-49419053,RefSum,0.9880749574105622,0.03571428571428571,1,0.0125,0,0,1
170,entertainment-arts-54567473,facebook/bart-large-cnn,0.5454545454545454,0.1,0.2857142857142857,0.32142857142857145,0,0,0.28571428571428575
171,entertainment-arts-54567473,google/pegasus-xsum,0.7250589159465829,0.10714285714285714,0.4,0.19230769230769232,0,0,0.4
172,entertainment-arts-54567473,t5-large,0.7250589159465829,0.10714285714285714,0.4,0.19230769230769232,0,0,0.4
173,entertainment-arts-54567473,gpt-3.5-turbo,0.4216867469879518,0.09375,0.2222222222222222,0.43333333333333335,0,0,0.22222222222222224
174,entertainment-arts-54567473,RefSum,0.9652509652509652,0.1111111111111111,1,0.04,0,0,1
175,health-19571173,facebook/bart-large-cnn,0,0,0,0.4,0,0,0
176,health-19571173,google/pegasus-xsum,1,0,0.6666666666666666,0,0,0,0.6666666666666666
177,health-19571173,t5-large,0,0,0,0.4,0,0,0
178,health-19571173,gpt-3.5-turbo,0,0,0,0.5,0,0,0
179,health-19571173,RefSum,1,0,1,0,0,0,1
180,health-23868116,facebook/bart-large-cnn,0,0,0,0.4,0,0,0
181,health-23868116,google/pegasus-xsum,0,0,0,0,0,0,0
182,health-23868116,t5-large,0,0,0,0.4,0,0,0
183,health-23868116,gpt-3.5-turbo,0,0,0,0.14285714285714285,0.5,0,0
184,health-23868116,RefSum,0,0,0,0,0,0,0
185,health-31849833,facebook/bart-large-cnn,0,0,0,0.30303030303030304,0.16666666666666666,0.16666666666666666,0
186,health-31849833,google/pegasus-xsum,0.9686486486486485,0.10344827586206896,1,0.03571428571428571,0,0,1
187,health-31849833,t5-large,0,0,0,0.07142857142857142,0,1,0
188,health-31849833,gpt-3.5-turbo,0.41854374017810375,0.08571428571428572,0.25,0.3235294117647059,0.14285714285714285,0,0.25
189,health-31849833,RefSum,0.9686486486486485,0.10344827586206896,1,0.03571428571428571,0,0,1
190,magazine-23432653,facebook/bart-large-cnn,0,0,0,0.2647058823529412,0,0,0
191,magazine-23432653,google/pegasus-xsum,0,0,0,0.03225806451612903,0.6666666666666666,0,0
192,magazine-23432653,t5-large,0,0,0,0.18461538461538463,0,0,0
193,magazine-23432653,gpt-3.5-turbo,0,0,0,0.3561643835616438,0.07142857142857142,0,0
194,magazine-23432653,RefSum,1,0,1,0,0,0,1
195,newsbeat-10000840,facebook/bart-large-cnn,0.5902439024390244,0.125,0.3333333333333333,0.3181818181818182,0,0,0.3333333333333333
196,newsbeat-10000840,google/pegasus-xsum,0,0,0,0.2,0,0.5,0
197,newsbeat-10000840,t5-large,0.5363984674329502,0.13636363636363635,0.5,0.05,0.5,0,0.5
198,newsbeat-10000840,gpt-3.5-turbo,0,0,0,0.2,0,0.5,0
199,newsbeat-10000840,RefSum,0.9578544061302682,0.13636363636363635,1,0.05,0,0,1
200,newsbeat-10002718,facebook/bart-large-cnn,0,0,0,0.34782608695652173,0,0.25,0
